"id" "technique" "technique_name" "algorithm" "blackbox" "evaluatedActions" "elapsedSeconds" "covered_lines" "total_lines" "covered_branches" "total_branches" "coverage_branch" "faults"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "655103" "240" "281" "416" "82" "99" "828" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "607961" "240" "281" "416" "82" "99" "828" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "614425" "240" "281" "416" "86" "101" "851" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "650825" "240" "283" "416" "83" "99" "838" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "609532" "240" "334" "416" "90" "108" "833" "6"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3256" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3291" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3246" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3606" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3796" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3761" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3771" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3761" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3756" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3701" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3506" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3341" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3626" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3611" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3481" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3576" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3546" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3616" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3576" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3496" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3451" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3471" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3476" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3406" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3371" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3426" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3526" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3381" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3041" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3276" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "215" "318" "416" "88" "110" "800" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "238" "357" "416" "100" "119" "840" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "199" "396" "416" "120" "135" "888" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "208" "406" "416" "127" "139" "913" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "215" "404" "416" "116" "132" "878" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "229" "384" "416" "113" "132" "856" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "228" "396" "416" "114" "132" "863" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "203" "396" "416" "117" "132" "886" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "219" "396" "416" "122" "136" "897" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "229" "373" "416" "104" "118" "881" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "208" "394" "416" "119" "135" "881" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "222" "396" "416" "118" "135" "874" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "221" "384" "416" "111" "132" "840" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "221" "398" "416" "120" "134" "895" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "211" "384" "416" "115" "133" "864" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100002" "160" "386" "416" "111" "130" "853" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "230" "396" "416" "117" "133" "879" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "196" "398" "416" "121" "135" "896" "6"
